U:0,U:1,U:2,p,Points:0,Points:1,Points:2
0.104166,0,0,15.7824,2.19358e-10,0.0002,4e-05
0.115559,2.53793e-06,1.14504e-09,15.773,1.07541e-05,0.0002,4e-05
0.126952,5.07585e-06,2.29007e-09,15.7636,2.1508e-05,0.0002,4e-05
0.138345,7.61378e-06,3.43511e-09,15.7541,3.22618e-05,0.0002,4e-05
0.149738,1.01517e-05,4.58014e-09,15.7447,4.30157e-05,0.0002,4e-05
0.157978,6.71124e-06,2.85412e-09,15.7354,5.37696e-05,0.0002,4e-05
0.160378,5.79639e-06,-4.18841e-09,15.7264,6.45235e-05,0.0002,4e-05
0.162778,4.88155e-06,-1.12309e-08,15.7174,7.52773e-05,0.0002,4e-05
0.165178,3.9667e-06,-1.82735e-08,15.7085,8.60312e-05,0.0002,4e-05
0.167579,3.05185e-06,-2.5316e-08,15.6995,9.67851e-05,0.0002,4e-05
0.168975,2.91169e-06,-2.30785e-08,15.6908,0.000107539,0.0002,4e-05
0.170046,1.53947e-06,-1.78439e-08,15.6823,0.000118293,0.0002,4e-05
0.171117,1.67252e-07,-1.26092e-08,15.6738,0.000129047,0.0002,4e-05
0.172189,-1.20497e-06,-7.37464e-09,15.6653,0.000139801,0.0002,4e-05
0.173171,1.50468e-06,-3.1459e-09,15.6565,0.000150554,0.0002,4e-05
0.173829,3.18426e-07,-2.58992e-09,15.6464,0.000161308,0.0002,4e-05
0.174487,-8.67825e-07,-2.03394e-09,15.6364,0.000172062,0.0002,4e-05
0.175146,-2.05408e-06,-1.47796e-09,15.6264,0.000182816,0.0002,4e-05
0.175804,-3.24033e-06,-9.21982e-10,15.6164,0.00019357,0.0002,4e-05
0.176107,1.13326e-06,-6.13133e-10,15.6073,0.000204324,0.0002,4e-05
0.176277,-6.35534e-08,-3.96792e-10,15.5985,0.000215078,0.0002,4e-05
0.176448,-1.26037e-06,-1.80451e-10,15.5897,0.000225832,0.0002,4e-05
0.176619,-2.45718e-06,3.58896e-11,15.581,0.000236585,0.0002,4e-05
0.176806,1.35e-08,1.77618e-10,15.5718,0.000247339,0.0002,4e-05
0.177033,-3.08101e-07,1.38807e-10,15.5619,0.000258093,0.0002,4e-05
0.177261,-6.29701e-07,9.99968e-11,15.5519,0.000268847,0.0002,4e-05
0.177489,-9.51302e-07,6.11865e-11,15.542,0.000279601,0.0002,4e-05
0.177716,4.88161e-07,2.23962e-11,15.5321,0.000290355,0.0002,4e-05
0.177708,6.11237e-07,1.76428e-11,15.523,0.000301109,0.0002,4e-05
0.177676,7.45727e-08,1.62717e-11,15.514,0.000311863,0.0002,4e-05
0.177644,-4.6209e-07,1.49006e-11,15.505,0.000322616,0.0002,4e-05
0.177613,-9.98753e-07,1.35295e-11,15.496,0.00033337,0.0002,4e-05
0.177658,-7.84138e-08,1.19358e-11,15.4865,0.000344124,0.0002,4e-05
0.17776,-2.34022e-08,1.04126e-11,15.4767,0.000354878,0.0002,4e-05
0.177863,3.16093e-08,8.88942e-12,15.4669,0.000365632,0.0002,4e-05
0.177965,8.66207e-08,7.36621e-12,15.4571,0.000376386,0.0002,4e-05
0.178021,6.86495e-07,6.28678e-12,15.4475,0.00038714,0.0002,4e-05
0.177967,4.23353e-07,5.95288e-12,15.4384,0.000397894,0.0002,4e-05
0.177913,1.60213e-07,5.61898e-12,15.4292,0.000408647,0.0002,4e-05
0.177859,-1.02928e-07,5.28508e-12,15.4201,0.000419401,0.0002,4e-05
0.177813,-4.62518e-08,4.9136e-12,15.4109,0.000430155,0.0002,4e-05
0.177873,7.30421e-08,5.33705e-12,15.4012,0.000440909,0.0002,4e-05
0.177933,1.92336e-07,5.76051e-12,15.3915,0.000451663,0.0002,4e-05
0.177993,3.11629e-07,6.18396e-12,15.3818,0.000462417,0.0002,4e-05
0.178054,5.3964e-07,6.65103e-12,15.3721,0.000473171,0.0002,4e-05
0.178022,4.458e-07,7.73904e-12,15.3629,0.000483924,0.0002,4e-05
0.177978,2.89004e-07,8.89882e-12,15.3537,0.000494678,0.0002,4e-05
0.177935,1.32207e-07,1.00586e-11,15.3444,0.000505432,0.0002,4e-05
0.177891,2.27059e-08,1.12276e-11,15.3352,0.000516186,0.0002,4e-05
0.17791,9.98183e-08,1.13231e-11,15.3257,0.00052694,0.0002,4e-05
0.17795,2.02387e-07,1.10605e-11,15.3161,0.000537694,0.0002,4e-05
0.17799,3.04955e-07,1.07979e-11,15.3065,0.000548448,0.0002,4e-05
0.178029,4.17208e-07,1.05475e-11,15.2969,0.000559202,0.0002,4e-05
0.178021,3.94536e-07,9.37757e-12,15.2874,0.000569955,0.0002,4e-05
0.17799,2.91375e-07,7.73648e-12,15.2781,0.000580709,0.0002,4e-05
0.177959,1.88214e-07,6.09539e-12,15.2688,0.000591463,0.0002,4e-05
0.177928,9.81829e-08,4.43082e-12,15.2596,0.000602217,0.0002,4e-05
0.177933,1.27058e-07,3.06519e-12,15.2501,0.000612971,0.0002,4e-05
0.17796,2.02134e-07,1.91227e-12,15.2405,0.000623725,0.0002,4e-05
0.177987,2.7721e-07,7.59356e-13,15.2309,0.000634479,0.0002,4e-05
0.178014,3.51192e-07,-3.91296e-13,15.2214,0.000645233,0.0002,4e-05
0.178009,3.31216e-07,-3.96396e-13,15.2119,0.000655986,0.0002,4e-05
0.177988,2.61068e-07,2.24724e-13,15.2026,0.00066674,0.0002,4e-05
0.177966,1.9092e-07,8.45848e-13,15.1933,0.000677494,0.0002,4e-05
0.177944,1.29679e-07,1.4608e-12,15.1839,0.000688248,0.0002,4e-05
0.177951,1.52282e-07,2.49387e-12,15.1745,0.000699002,0.0002,4e-05
0.177969,2.04169e-07,3.7072e-12,15.1649,0.000709756,0.0002,4e-05
0.177988,2.56056e-07,4.92052e-12,15.1554,0.00072051,0.0002,4e-05
0.178006,3.04009e-07,6.1402e-12,15.1459,0.000731264,0.0002,4e-05
0.177998,2.73637e-07,6.41538e-12,15.1365,0.000742017,0.0002,4e-05
