U:0,U:1,U:2,Points:0,Points:1,Points:2
0.026042,0,0,2.19358e-10,0.0002,4e-05
0.029004,6.2338e-07,2.18843e-10,1.07541e-05,0.0002,4e-05
0.0319659,1.24676e-06,4.37686e-10,2.1508e-05,0.0002,4e-05
0.0349279,1.87014e-06,6.56529e-10,3.22618e-05,0.0002,4e-05
0.0378899,2.49352e-06,8.75372e-10,4.30157e-05,0.0002,4e-05
0.0400021,1.50234e-06,4.09784e-10,5.37696e-05,0.0002,4e-05
0.0405407,1.21399e-06,-1.3232e-09,6.45235e-05,0.0002,4e-05
0.0410793,9.25636e-07,-3.05619e-09,7.52773e-05,0.0002,4e-05
0.0416179,6.37286e-07,-4.78917e-09,8.60312e-05,0.0002,4e-05
0.0421564,3.48936e-07,-6.52216e-09,9.67851e-05,0.0002,4e-05
0.0424791,6.52842e-07,-5.88407e-09,0.000107539,0.0002,4e-05
0.042732,3.01548e-07,-4.48018e-09,0.000118293,0.0002,4e-05
0.0429849,-4.97456e-08,-3.07628e-09,0.000129047,0.0002,4e-05
0.0432378,-4.0104e-07,-1.67239e-09,0.000139801,0.0002,4e-05
0.0434663,3.34395e-07,-5.52184e-10,0.000150554,0.0002,4e-05
0.0436053,6.07337e-08,-4.67987e-10,0.000161308,0.0002,4e-05
0.0437444,-2.12927e-07,-3.8379e-10,0.000172062,0.0002,4e-05
0.0438835,-4.86588e-07,-2.99593e-10,0.000182816,0.0002,4e-05
0.0440226,-7.60248e-07,-2.15396e-10,0.00019357,0.0002,4e-05
0.0440849,2.55727e-07,-1.5894e-10,0.000204324,0.0002,4e-05
0.0441185,1.90673e-08,-1.12865e-10,0.000215078,0.0002,4e-05
0.0441521,-2.17593e-07,-6.67898e-11,0.000225832,0.0002,4e-05
0.0441856,-4.54253e-07,-2.07145e-11,0.000236585,0.0002,4e-05
0.0442247,1.92979e-08,1.08448e-11,0.000247339,0.0002,4e-05
0.0442769,-4.96237e-08,7.38464e-12,0.000258093,0.0002,4e-05
0.0443292,-1.18545e-07,3.92449e-12,0.000268847,0.0002,4e-05
0.0443815,-1.87467e-07,4.64337e-13,0.000279601,0.0002,4e-05
0.0444338,1.14344e-07,-2.98885e-12,0.000290355,0.0002,4e-05
0.0444299,1.42831e-07,-2.45332e-12,0.000301109,0.0002,4e-05
0.0444204,3.28096e-08,-1.52282e-12,0.000311863,0.0002,4e-05
0.0444109,-7.72115e-08,-5.92317e-13,0.000322616,0.0002,4e-05
0.0444014,-1.87233e-07,3.38183e-13,0.00033337,0.0002,4e-05
0.0444127,-3.52351e-09,5.59725e-13,0.000344124,0.0002,4e-05
0.0444392,5.31666e-09,2.95164e-13,0.000354878,0.0002,4e-05
0.0444657,1.41568e-08,3.06044e-14,0.000365632,0.0002,4e-05
0.0444922,2.2997e-08,-2.33955e-13,0.000376386,0.0002,4e-05
0.0445065,1.58838e-07,-4.74861e-13,0.00038714,0.0002,4e-05
0.0444917,1.00449e-07,-7.22606e-13,0.000397894,0.0002,4e-05
0.044477,4.20591e-08,-9.70351e-13,0.000408647,0.0002,4e-05
0.0444623,-1.63304e-08,-1.2181e-12,0.000419401,0.0002,4e-05
0.0444496,2.1249e-10,-1.44738e-12,0.000430155,0.0002,4e-05
